Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,,,Anatomy,Embryology,3rd pharyngeal arch derivative:,Cricothyroid muscle,Stylopharyngeus muscle,Post Belly of digastric,Anterior belly of digastric,None,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 The 3rd Pharyngeal Arch derivatives are:
 Muscle: **Stylopharyngeus**.
 Nerve: Glossopharyngeal nerve (CN IX).
 Bone: Greater horn and lower body of the Hyoid bone.
 
 <b>Option A:</b> Cricothyroid is 4th/6th arch (Vagus).
 
 <b>Option C:</b> Posterior belly of digastric is 2nd arch (Facial).
 
 <b>Option D:</b> Anterior belly is 1st arch (Trigeminal)."
,,,,Anatomy,Embryology,"A 16-year-old boy presents with absent secondary sexual characteristics, on U/S has blind ended vagina and ovaries, which of the following embryological structure is responsible for leading to such abnormality",Mesonephric duct,Paramesonephric duct,Gubernaculum,Round ligament,None of them,B,"This is the characteristic presentation of Androgen Insensitivity Syndrome (AIS), specifically the complete form (CAIS). In this condition, the individual is genetically male (46,XY) with testes (which produce androgens), but the body's cells are unable to respond to these androgens. The embryological structure primarily responsible for the development of the uterus and vagina (the structures that are absent or blind-ended in this scenario) is the paramesonephric duct (also known as the Müllerian duct)."
,,,,Anatomy,Embryology,A 2-week-old baby has drooling + regurgitation after feeds (suggesting esophageal atresia). In which week does this structure form?,4 weeks,8 weeks,4 weeks,3 weeks,10 weeks,C,
,,,,Anatomy,Embryology,"A 2-year-old boy presents with an undescended testis (cryptorchidism). During development, which structure primarily guides the testis into the scrotum?",Gubernaculum,Epididymis,Vas deferens,Spermatic cord,None of them,A,"The gubernaculum is a mesodermal structure that connects the caudal pole of the testis to the scrotal swelling. It is believed to guide and anchor the testis as the body grows, essentially pulling the testis through the inguinal canal and into the scrotum during the final phase of testicular descent."
,,,,Anatomy,Embryology,"A 25-year-old male patient with tall stature, small testes, and gynecomastia is diagnosed with Klinefelter syndrome (47,XXY). On examination, he is found to have rudimentary uterus and vagina. These structures develop from which embryological duct?",Paramesonephric (Müllerian) duct,Mesonephric (Wolffian) duct,Urogenital sinus,Cloacal membrane,None of them,A,"The presence of a rudimentary uterus and vagina indicates that the internal female reproductive structures attempted to develop. These structures (Fallopian tubes, uterus, and upper third of the vagina) are embryologically derived from the Paramesonephric (Müllerian) duct. In 47, XXY (Klinefelter), the extra X chromosome allows for sufficient estrogen effect and incomplete suppression of the Müllerian duct, leading to these rudimentary female structures alongside male external genitalia."
,,,,Anatomy,Embryology,A 25-year-old woman undergoes evaluation for primary amenorrhea. Imaging reveals a bicornuate uterus. This anomaly is most likely due to failure of which of the following embryologic processes?,Failure of paramesonephric (Müllerian) duct fusion,Failure of ureteric bud formation,Failure of mesonephric duct regression,Failure of cloacal membrane rupture,Failure of lateral body folding,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>A <b>Bicornuate Uterus</b> results from the <b>Incomplete Fusion</b> of the paired <b>Paramesonephric (Müllerian) Ducts</b>. Complete failure of fusion results in Uterus Didelphys."
,,,,Anatomy,Embryology,"A 3-year-old girl presents with chronic constipation, abdominal distension, and episodes of vomiting. A barium enema shows a narrow distal colon with a dilated proximal segment. Rectal biopsy confirms the absence of ganglion cells. Which type of neuron is missing in the affected area?",Preganglionic sympathetic neurons,Postganglionic sympathetic neurons,Preganglionic parasympathetic neurons,Postganglionic parasympathetic neurons,Somatic motor neurons,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span><br><b>Hirschsprung Disease</b> is caused by the failure of Neural Crest Cells to migrate to the distal colon. These cells normally form the Myenteric (Auerbach) and Submucosal (Meissner) plexuses. These intrinsic ganglia represent the <b>Postganglionic Parasympathetic Neurons</b> of the gut.<br><br><b>Option C:</b> Preganglionic fibers (from Vagus/Pelvic Splanchnic) are present but cannot synapse because the postganglionic cell bodies are missing."
,,,,Anatomy,Embryology,A 4-year-old boy with anterior neck swelling which moves along with the protrusion of tongue is the derivate of:,Thyroglossal duct,Foramen cecum,Base of tongue,Thyroid,None of them,A,"The swelling is a Thyroglossal Duct Cyst, a remnant of the duct that connects the developing thyroid gland (which descends from the foramen cecum) to its final position, causing the mobility with tongue movement."
,,,,Anatomy,Embryology,A boy presents with an undescended testis on one side and a history of inguinal hernia. Which structure is most likely involved in both conditions?,Gubernaculum,Epididymis,Vas deferens,Spermatic cord,None of them,E,"The Processus Vaginalis is an evagination of the peritoneum that precedes the descending testis into the scrotum, forming the inner lining of the inguinal canal. Normally, this structure closes. If it fails to close (a Patent Processus Vaginalis), it provides the pathway for abdominal contents (intestine) to herniate into the inguinal canal and scrotum, leading to a Congenital Indirect Inguinal Hernia. If the testis fails to descend (Cryptorchidism), it is often still within the patent Processus Vaginalis tract, making the two conditions frequently associated."
,,,,Anatomy,Embryology,A girl came with primary amenorrhea. On USG bicornuate uterus. What abnormality led to this?,Failure of fusion of paramesonephric duct,Failure of fusion of mesonephric duct,Abnormal division of wolfian duct,Abnormal enlargement of tubules,None of them,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>A <b>Bicornuate Uterus</b> results from the <b>Incomplete Fusion</b> of the paired <b>Paramesonephric (Müllerian) Ducts</b> during embryogenesis."
