Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,Gastric Perforation,,Anatomy,Abdomen,"35 year old man with perforated gastric ulcer complains of pain in his stomach, it is observed that pain comes from peritoneal irritation by gastric contents in lesser sac , which of the following nerves contains sensory nerve fibers that conveys this sharp stabbing pain",Greater splanchnic nerve,Lower intercostal nerve,White rami communicates,Vagus nerve,None,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>The Parietal Peritoneum (sensitive to somatic pain) lining the abdominal wall is innervated by the <b>Lower Intercostal Nerves</b>. (Visceral pain travels via splanchnics)."
,,Inguinal Nerves,,Anatomy,Abdomen,"A 25-year-old man undergoes appendectomy via a McBurney point incision. Postoperatively, he complains of pain and numbness in the lower abdomen just above the pubic region. Which nerve was most likely injured?",Ilioinguinal nerve,Lateral femoral cutaneous nerve,Femoral nerve,Iliohypogastric nerve,None of them,D,Iliohypogastric nerve (L1) runs between internal oblique and transversus abdominis. It supplies sensation to the suprapubic region. Injury causes pain/numbness there.
,,Renal Anomalies,,Anatomy,Abdomen,"A 25-year-old man undergoes imaging with contrast dye injected into his right kidney. The right kidney is visualized, but the left kidney does not show any dye. Ultrasound shows the left kidney located in the pelvis. What is the most likely diagnosis?",Horseshoe kidney,Pelvic kidney (renal ectopia),Polycystic kidney disease,Renal agenesis,Duplex kidney,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>A kidney found in the pelvis (failure to ascend) is an <b>Ectopic (Pelvic) Kidney</b>. It functions normally but is located anomalously."
,,Renal Anomalies,,Anatomy,Abdomen,"A 30-year-old patient presented in the urology OPD with urinary problems and was advised intravenous contrast imaging (IV urography). It was observed that dye is seen reaching the right lumbar area but no contrast is visualized in the left lumbar area, but a shadow is seen on the superior aspect of the bladder. The most likely cause is:",Horseshoe kidney,Unilateral renal agenesis,Ectopic kidney,Pelvic kidney,Failure of crossing of dye,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span>
 
 A Pelvic Kidney is a type of ectopic kidney where the kidney fails to ascend from the pelvis during development. It would appear as a functioning kidney (taking up dye) located just superior to the bladder, rather than in the lumbar fossa.
 
 <b>Option B:</b> In renal agenesis, no kidney tissue exists, so no dye would be visualized on the left side at all (no shadow near bladder).
 
 <b>Option A:</b> Horseshoe kidney is fused at the lower poles and usually located lower than normal but typically presents as a midline mass effect."
,,Duodenal Relations,,Anatomy,Abdomen,A 34-year-old man sustains blunt abdominal trauma in a motor vehicle accident. Imaging reveals injury to the structure located anterior to the third part of the duodenum. Which of the following is most likely damaged?,Abdominal aorta,Inferior vena cava,Superior mesenteric artery,Portal vein,Celiac trunk,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br>The <b>Superior Mesenteric Artery (SMA)</b> descends vertically and crosses <i>anterior</i> to the third (transverse) part of the duodenum. This relationship is notorious for ""SMA Syndrome"" (compression of the duodenum).<br><br><b>Option A & B:</b> The Aorta and IVC lie <i>posterior</i> to the third part of the duodenum."
,,Spleen,,Anatomy,Abdomen,A 35-year-old man falls from height and sustains a left 10th rib fracture. Which organ is most at risk of injury?,Liver,Stomach,Spleen,Pancreas,None of them,C,"The spleen lies under the left 9th, 10th, and 11th ribs. Fracture of the left 10th rib is a classic cause of splenic rupture."
,,Duodenal Relations,,Anatomy,Abdomen,A 36-year-old man is undergoing exploratory laparotomy after blunt abdominal trauma. The surgeon identifies the third part of the duodenum and notes a large vascular structure posterior to it. Which of the following is most likely?,Superior mesenteric artery,Superior mesenteric vein,Aorta and inferior vena cava,Portal vein and splenic vein,Celiac artery and portal vein,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br>The third part of the duodenum crosses transversely over the vertebral column. The major structures lying immediately <b>posterior</b> to it are the <b>Abdominal Aorta and Inferior Vena Cava (IVC)</b>.<br><br><b>Option A:</b> As noted in the previous question, the SMA runs <i>anterior</i> to the duodenum here."
,,Meckel's Diverticulum,,Anatomy,Abdomen,A child presented with pain in right illiac fossa nausea and Fever. While operating surgeon found a structure 2Feet proximal to illiocecal valve. What is this structure?,Zenker diverticulum,Hernia,Meckle diverticulum,Acetic acid,Soap water,C,Rule of 2. Seen commonly in under 2 year. 2% Population. 2 Feet proximal to illiocecal valve. 2 inches long. 2 types of mucosa (Ectopic gastric mucosa which usually bleed and Pancreatic mucosa. 2:1 Male predominance
,,Liver Histology,,Anatomy,Abdomen,A chronic alcoholic patient presents to the hospital in a disturbed state. He gives history of long standing ascites and cirrhosis. Now he is diagnosed with HCC. What type of capsule covers this organ normally?,Dense regular connective tissue,Reticular tissue,Dense irregular connective tissue,Loose connective tissue,None of them,C,"The liver is covered by Glisson's capsule, which is composed primarily of dense irregular connective tissue."
,,Duodenal Ulcer,,Anatomy,Abdomen,"A duodenal ulcer commonly bleeds, which artery is involved?",Gastroduodenal artery,Gastroepiploic artery,Superior pancreaticoduodenal artery,Left Gastric Artery,None of them,A,"Duodenal ulcers most commonly occur in the first part of the duodenum. A posterior ulcer can erode into the nearby gastroduodenal artery, leading to severe hemorrhage."
